team,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,efg,tov_rate,orb_rate,ft_rate,games_played
Abilene Christian,200.0,22.428571428571427,55.57142857142857,0.4055714285714286,6.428571428571429,19.142857142857142,0.33314285714285713,13.714285714285714,19.857142857142858,0.679142857142857,10.0,18.714285714285715,28.714285714285715,12.285714285714286,9.428571428571429,4.0,12.714285714285714,21.714285714285715,65.0,67.71857142857142,96.68571428571428,0.46401712020586794,0.1856214340707845,0.3485082908995953,0.36085048647662077,7
Air Force,200.0,22.727272727272727,50.72727272727273,0.4467272727272727,6.363636363636363,20.181818181818183,0.304,14.363636363636363,22.545454545454547,0.639,7.2727272727272725,21.818181818181817,29.09090909090909,12.909090909090908,6.363636363636363,3.1818181818181817,12.545454545454545,17.636363636363637,66.18181818181819,66.70818181818183,98.80454545454545,0.5094646534028725,0.18877284113993414,0.2507511725579648,0.4565734202612923,11
Akron,200.11111111111111,33.333333333333336,63.111111111111114,0.5306666666666666,11.88888888888889,28.0,0.4286666666666667,15.333333333333334,20.666666666666668,0.7385555555555556,9.11111111111111,23.666666666666668,32.77777777777778,19.77777777777778,7.444444444444445,2.888888888888889,10.0,16.555555555555557,93.88888888888889,73.81888888888889,127.27555555555556,0.6250345511392175,0.13544584647415692,0.2939001262977871,0.32898059117324496,9
Alabama,200.0,32.55555555555556,67.88888888888889,0.4826666666666667,12.555555555555555,36.111111111111114,0.35144444444444445,17.444444444444443,23.22222222222222,0.7537777777777778,10.444444444444445,28.666666666666668,39.111111111111114,18.22222222222222,7.777777777777778,6.222222222222222,9.777777777777779,18.555555555555557,95.11111111111111,78.25111111111111,121.44,0.575443863859672,0.12479518531553044,0.2655630145822477,0.35024040873559287,9
Alabama A&M,200.0,21.714285714285715,55.714285714285715,0.39185714285714285,6.0,17.857142857142858,0.3402857142857143,14.428571428571429,20.428571428571427,0.7142857142857143,7.714285714285714,21.857142857142858,29.571428571428573,8.142857142857142,6.142857142857143,3.0,11.714285714285714,19.0,63.857142857142854,69.42,92.06714285714285,0.4467863243606591,0.16902707986859672,0.24516885508640868,0.37518972091847597,7
Alabama State,200.0,25.5,59.875,0.427625,8.125,22.625,0.35525,14.75,20.5,0.702375,9.125,21.375,30.5,12.75,7.875,3.625,12.625,19.0,73.875,73.11375,100.93375,0.4954006161383856,0.1719694634115089,0.299373646367748,0.346978804078928,8
Albany (NY),200.0,24.375,59.625,0.414625,6.25,23.625,0.2865,10.125,16.375,0.59325,9.125,17.875,27.0,12.75,8.0,2.5,12.25,20.375,65.125,70.5275,93.01875,0.46751116351908983,0.17287516180368337,0.32212531383423876,0.28317988012468526,8
Alcorn State,198.7,25.1,57.0,0.4389,7.5,20.1,0.3749,8.8,14.3,0.6314,8.1,18.2,26.3,10.3,7.9,4.5,17.2,19.2,66.5,72.89099999999999,91.05499999999999,0.5052321179881273,0.23394070115231935,0.31676516101032504,0.2537841287755044,10
American,200.0,25.444444444444443,58.666666666666664,0.4341111111111111,9.222222222222221,27.333333333333332,0.3303333333333333,14.333333333333334,19.22222222222222,0.7303333333333334,7.111111111111111,20.666666666666668,27.77777777777778,11.777777777777779,8.333333333333334,1.4444444444444444,11.88888888888889,21.0,74.44444444444444,72.57444444444444,102.95222222222222,0.5119895743493413,0.16254017033998516,0.2552397008217485,0.3370304497055436,9
Appalachian State,200.0,23.0,54.75,0.418875,7.125,24.375,0.293375,11.875,20.125,0.585125,9.375,19.625,29.0,11.75,4.75,2.75,8.375,18.5,65.0,63.305,102.3775,0.4851299496538019,0.13234776737433904,0.3223144947943335,0.3740392983676252,8
Arizona,200.0,32.375,61.0,0.527,6.0,16.0,0.354,17.75,24.625,0.714375,12.375,26.75,39.125,19.5,8.375,4.375,12.625,17.0,88.5,72.94625,120.9125,0.5749880009625701,0.1732859237402854,0.31415513940249007,0.41173919189241803,8
Arizona State,200.0,26.6,57.2,0.46609999999999996,8.6,22.4,0.3834,18.8,26.2,0.7167,7.8,22.5,30.3,12.9,7.2,3.8,10.1,17.7,80.6,71.946,111.947,0.5421445819220143,0.14079257305863438,0.2668331689844848,0.4659037753037971,10
Arkansas,200.0,30.0,63.333333333333336,0.4735555555555556,8.666666666666666,24.444444444444443,0.35866666666666663,18.88888888888889,24.11111111111111,0.780888888888889,9.555555555555555,25.333333333333332,34.888888888888886,17.11111111111111,8.222222222222221,4.666666666666667,9.222222222222221,16.22222222222222,87.55555555555556,74.45222222222223,117.06777777777779,0.5417463278801138,0.1249385217087945,0.27952799914458093,0.3814814127890803,9
Arkansas State,202.77777777777777,26.22222222222222,61.77777777777778,0.42333333333333334,8.0,27.444444444444443,0.2848888888888889,18.77777777777778,23.11111111111111,0.8260000000000001,11.444444444444445,25.11111111111111,36.55555555555556,13.555555555555555,7.666666666666667,2.5555555555555554,15.444444444444445,21.11111111111111,79.22222222222223,76.75666666666666,103.46777777777778,0.4879389436934194,0.19885869639813977,0.31289607458587787,0.38829209374818924,9
Arkansas-Pine Bluff,200.0,24.636363636363637,61.90909090909091,0.4001818181818182,6.909090909090909,23.454545454545453,0.29554545454545456,14.090909090909092,18.181818181818183,0.7696363636363636,8.181818181818182,20.272727272727273,28.454545454545453,13.545454545454545,6.818181818181818,3.3636363636363638,14.636363636363637,21.818181818181817,70.27272727272727,77.0,91.51454545454546,0.45656376075501315,0.19007431170284075,0.28929344726123757,0.2975451171580925,11
